Tick,Throttle,Speed,Current,Voltage
11653,0, 0, 792, 52352
11960,0, 0, 796, 52350
12010,0, 0, 796, 52350
12060,0, 0, 796, 52350
12110,0, 0, 796, 52350
12160,0, 0, 796, 52349
12210,0, 0, 796, 52349
12260,0, 0, 796, 52349
12310,0, 0, 796, 52349
12360,0, 0, 793, 52349
12410,0, 0, 793, 52349
12460,0, 0, 793, 52349
12510,0, 0, 793, 52349
12560,0, 0, 793, 52349
12610,0, 0, 793, 52349
12660,0, 0, 793, 52349
12710,0, 0, 793, 52349
12760,0, 0, 797, 52349
12810,0, 0, 797, 52349
12860,0, 0, 797, 52349
12910,0, 0, 797, 52349
13130,0, 0, 797, 52350
13180,0, 0, 788, 52350
13230,0, 0, 788, 52350
13280,0, 0, 788, 52350
13330,0, 0, 788, 52350
13380,0, 0, 788, 52348
13430,0, 0, 788, 52348
13480,0, 0, 788, 52348
13530,0, 0, 788, 52348
13580,0, 0, 796, 52348
13630,0, 0, 796, 52348
13680,0, 0, 796, 52348
13730,0, 0, 796, 52348
13780,0, 0, 796, 52348
13830,0, 0, 796, 52348
13880,0, 0, 796, 52348
13930,0, 0, 796, 52348
13980,0, 0, 788, 52348
14030,0, 0, 788, 52348
14080,0, 0, 788, 52348
14216,0, 0, 788, 52346
14266,0, 0, 788, 52346
14358,0, 0, 796, 52346
14408,0, 0, 796, 52346
14458,0, 0, 796, 52346
14508,0, 0, 796, 52346
14558,0, 0, 796, 52346
14608,0, 0, 796, 52346
14658,0, 0, 796, 52346
14708,0, 0, 796, 52346
14758,0, 0, 797, 52346
14808,0, 0, 797, 52346
14858,0, 0, 797, 52346
14908,0, 0, 797, 52346
14958,0, 0, 797, 52346
15008,0, 0, 797, 52346
15058,0, 0, 797, 52346
15108,0, 0, 797, 52346
15158,0, 0, 810, 52346
15208,0, 0, 810, 52346
15344,0, 0, 810, 52346
15394,0, 0, 810, 52344
15444,0, 0, 810, 52344
15494,0, 0, 810, 52344
15544,0, 0, 810, 52344
15636,0, 0, 794, 52344
15686,0, 0, 794, 52344
15736,0, 0, 794, 52344
15786,0, 0, 794, 52346
15836,0, 0, 794, 52346
15886,0, 0, 794, 52346
15936,0, 0, 794, 52346
15986,0, 0, 798, 52346
16036,0, 0, 798, 52346
16086,0, 0, 798, 52346
16136,0, 0, 798, 52346
16186,0, 0, 798, 52344
16236,0, 0, 798, 52344
16286,0, 0, 798, 52344
