Tick,Throttle,Speed,Current,Voltage,,
16233,0,2732,118,52573,,
16538,0,2732,119,52573,,
16588,0,2732,119,52573,,
16638,0,2732,119,52573,,
16688,0,2732,119,52573,,
16738,0,2732,119,52573,,
16788,0,2732,118,52573,,
16838,0,2732,118,52573,,
16888,0,2732,118,52573,,
16938,0,2732,118,52573,,
16988,0,2732,118,52574,,
17038,0,2732,118,52574,,
17088,0,2732,118,52574,,
17138,0,2732,118,52574,,
17188,0,2732,118,52574,,
17238,0,2732,118,52574,,
17288,0,2732,118,52574,,
17338,0,2732,118,52574,,
17388,0,2732,118,52574,,
17480,0,2609,118,52574,,
17530,0,2609,118,52574,,
17707,0,2609,117,52574,,
17757,0,2609,117,52574,,
17807,0,2609,117,52573,,
17857,0,2609,117,52573,,
17907,0,2609,117,52573,,
17957,0,2609,117,52573,,
18007,0,2609,119,52573,,
18057,0,2609,119,52573,,
18107,0,2609,119,52573,,
18157,0,2609,119,52573,,
18207,0,2609,119,52572,,
18257,0,2609,119,52572,,
18307,0,2609,119,52572,,
18357,0,2609,119,52572,,
18407,0,2609,119,52572,,
18457,0,2825,119,52572,,
18507,0,2825,119,52572,,
18557,0,2825,119,52572,,
18649,0,2825,119,52573,,
18699,0,2825,119,52573,,
18835,0,2825,119,52573,,
18885,0,2825,119,52573,,
18935,0,2825,119,52573,,
18985,0,2825,119,52572,,
19035,0,2825,119,52572,,
19085,0,2825,119,52572,,
19135,0,2825,119,52572,,
19185,0,2825,118,52572,,
19235,0,2825,118,52572,,
19285,0,2825,118,52572,,
19335,0,2825,118,52572,,
19385,0,2825,118,52573,,
19435,0,2825,118,52573,,
19485,0,2825,118,52573,,
19535,0,2825,118,52573,,
19585,0,2825,118,52573,,
19635,0,2964,118,52573,,
19727,0,2964,118,52573,,
19777,0,2964,118,52573,,
19827,0,2964,118,52573,,
19963,0,2964,118,52573,,
20013,0,2964,118,52573,,
20063,0,2964,118,52573,,
20113,0,2964,118,52573,,
20163,0,2964,118,52573,,
20213,0,2964,118,52573,,
20263,0,2964,118,52573,,
20313,0,2964,118,52573,,
20363,0,2964,118,52573,,
20413,0,2964,119,52573,,
20463,0,2964,119,52573,,
20513,0,2964,119,52573,,
20563,0,2964,119,52573,,
20613,0,2964,119,52572,,
20663,0,3103,119,52572,,
