Tick,Throttle,Speed,Current,Voltage
19070,0,14421,8043,51809
19376,0,14560,8198,51809
19426,0,14838,8198,51767
19476,0,14838,8198,51767
19526,0,14838,8198,51767
19576,0,14838,8198,51767
19626,0,14977,8337,51767
19676,0,14977,8337,51767
19726,0,14977,8337,51767
19776,0,14977,8337,51767
19826,0,15131,8337,51735
19876,0,15131,8337,51735
19926,0,15131,8337,51735
19976,0,15131,8337,51735
20026,0,15440,8473,51735
20076,0,15440,8473,51735
20126,0,15440,8473,51735
20176,0,15440,8473,51735
20268,0,15440,8473,51696
20318,0,15440,8473,51696
20368,0,15440,8473,51696
20545,0,15595,8620,51696
20595,0,15595,8620,51655
20645,0,15903,8620,51655
20695,0,15903,8620,51655
20745,0,15903,8620,51655
20795,0,15903,8795,51655
20845,0,15903,8795,51655
20895,0,15903,8795,51655
20945,0,15903,8795,51655
20995,0,15903,8795,51655
21045,0,16073,8795,51624
21095,0,16073,8795,51624
21145,0,16073,8795,51624
21195,0,16073,8795,51624
21245,0,16243,8935,51624
21337,0,16243,8935,51624
21387,0,16243,8935,51624
21437,0,16598,8935,51582
21487,0,16598,8935,51582
21537,0,16598,8935,51582
21672,0,16413,9045,51582
21722,0,16413,9045,51582
21772,0,16413,9045,51582
21822,0,16413,9045,51557
21872,0,16768,9045,51557
21922,0,16768,9045,51557
21972,0,16768,9045,51557
22022,0,16768,9174,51557
22072,0,16768,9174,51557
22122,0,16768,9174,51557
22172,0,16768,9174,51557
22222,0,16768,9174,51519
22272,0,16953,9174,51519
22364,0,16953,9174,51519
22414,0,16953,9311,51519
22464,0,17154,9311,51519
22514,0,17154,9311,51519
22564,0,17154,9311,51519
22614,0,17154,9311,51489
22664,0,17339,9311,51489
22799,0,17339,9311,51489
22849,0,17540,9432,51489
22899,0,17540,9432,51489
22949,0,17540,9432,51489
22999,0,17540,9432,51489
23049,0,17540,9432,51453
23099,0,17540,9432,51453
23149,0,17540,9432,51453
23199,0,17540,9432,51453
23249,0,17941,9580,51453
23299,0,17941,9580,51453
23391,0,17941,9580,51453
23441,0,17941,9580,51418
23491,0,17941,9580,51418
23541,0,17941,9580,51418
23591,0,17941,9580,51418
23641,0,18158,9710,51418
23691,0,18158,9710,51418
23741,0,18158,9710,51418
23791,0,18158,9710,51418
23926,0,18374,9710,51389
23976,0,18374,9710,51389
24026,0,18374,9859,51389
24076,0,18374,9859,51389
24126,0,18374,9859,51389
24176,0,18374,9859,51389
24226,0,18590,9859,51359
24276,0,18590,9859,51359
24326,0,18590,9859,51359
24376,0,18590,9859,51359
24468,0,18590,9966,51359
24518,0,18590,9966,51359
24568,0,18590,9966,51359
24618,0,18590,9966,51320
24668,0,18822,9966,51320
24718,0,18822,9966,51320
24768,0,18822,9966,51320
24818,0,18822,10068,51320
24868,0,19300,10068,51320
24918,0,19300,10068,51320
25053,0,19300,10068,51286
25103,0,19300,10068,51286
25153,0,19300,10068,51286
25203,0,19300,10068,51286
25253,0,19300,10220,51286
25303,0,19300,10220,51286
25353,0,19300,10220,51286
25403,0,19300,10220,51286
25495,0,19532,10220,51262
25545,0,19532,10220,51262
25595,0,19532,10220,51262
25645,0,19532,10351,51262
25695,0,19532,10351,51262
25745,0,19532,10351,51262
25795,0,19532,10351,51262
25845,0,20041,10351,51220
25895,0,20041,10351,51220
25945,0,20041,10351,51220
25995,0,20041,10351,51220
